member,address,start_date,end_date,season
danelund.eth,0x8e0c66bf9fca6acdc97c2b753aae0c89e9377b74,26-01-2023,07-06-2023,3
Jack Anorak,0x4f41877773e44f2275da1942fee898556821bf66,26-01-2023,07-06-2023,3
Kaereste,0x1b686ee8e31c5959d9f5bbd8122a58682788eead,26-01-2023,07-06-2023,3
Gonna.eth,0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,26-01-2023,07-06-2023,3
Katie Garcia,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,26-01-2023,07-06-2023,3
GFX labs,0xa6e8772af29b29b9202a073f8e36f447689beef6,26-01-2023,07-06-2023,3
MoneyManDoug,0xd23199f1222c418ffc74c385171330b21b16e452,26-01-2023,07-06-2023,3
Michael Vander Meiden,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,26-01-2023,07-06-2023,3
Matt L,0x406b607644c5d7bfda95963201e45a4c6ab1c159,26-01-2023,07-06-2023,3
danelund.eth,0x8e0c66bf9fca6acdc97c2b753aae0c89e9377b74,08-06-2023,03-01-2024,4
Jack Anorak,0x4f41877773e44f2275da1942fee898556821bf66,08-06-2023,03-01-2024,4
Kaereste ,0x1b686ee8e31c5959d9f5bbd8122a58682788eead,08-06-2023,03-01-2024,4
Gonna.eth,0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,08-06-2023,03-01-2024,4
Katie Garcia,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,08-06-2023,03-01-2024,4
GFX labs,0xa6e8772af29b29b9202a073f8e36f447689beef6,08-06-2023,03-01-2024,4
MoneyManDoug,0xd23199f1222c418ffc74c385171330b21b16e452,08-06-2023,03-01-2024,4
Michael Vander Meiden,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,08-06-2023,03-01-2024,4
Matt L,0x406b607644c5d7bfda95963201e45a4c6ab1c159,08-06-2023,03-01-2024,4
Jack Anorak,0x4f41877773e44f2275da1942fee898556821bf66,04-01-2024,26-06-2024,5
Kaereste,0x1b686ee8e31c5959d9f5bbd8122a58682788eead,04-01-2024,26-06-2024,5
Ethernaut,0x45a10f35befa4ab841c77860204b133118b7ccae,04-01-2024,26-06-2024,5
Gonna.eth,0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,04-01-2024,26-06-2024,5
Joxes,0x94db037207f6fb697dbd33524aadffd108819dc8,04-01-2024,26-06-2024,5
Katie Garcia,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,04-01-2024,26-06-2024,5
GFX labs,0xa6e8772af29b29b9202a073f8e36f447689beef6,04-01-2024,26-06-2024,5
MoneyManDoug,0xd23199f1222c418ffc74c385171330b21b16e452,04-01-2024,26-06-2024,5
Michael Vander Maiden,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,04-01-2024,26-06-2024,5
Matt L,0x406b607644c5d7bfda95963201e45a4c6ab1c159,04-01-2024,26-06-2024,5
Gonna.eth,0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,27-06-2024,31-12-2024,6
AnthiasLabs,0x7575f04a46b6d76142723e765f7546c354773406,27-06-2024,31-12-2024,6
M4rio.eth,0xc8e2806a97413b5496a1ba6050b517cc98d0efca,27-06-2024,31-12-2024,6
katie,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,27-06-2024,31-12-2024,6
GFXlabs,0xa6e8772af29b29b9202a073f8e36f447689beef6,27-06-2024,31-12-2024,6
brichis,0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,27-06-2024,31-12-2024,6
jackanorak,0x4f41877773e44f2275da1942fee898556821bf66,27-06-2024,31-12-2024,6
mastermojo,0x406b607644c5D7BfDA95963201E45A4c6AB1c159,27-06-2024,31-12-2024,6
MoneyManDoug,0xd23199f1222c418ffc74c385171330b21b16e452,27-06-2024,31-12-2024,6
MattL,0x406b607644c5d7bfda95963201e45a4c6ab1c159,27-06-2024,31-12-2024,6
Michael,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,27-06-2024,31-12-2024,6
Jrocki,0xfc10a71b1e7974401d840fd15cebf08ed7e115cc,27-06-2024,31-12-2024,6
Tane,0xb79294d00848a3a4c00c22d9367f19b4280689d7,27-06-2024,31-12-2024,6
Sov,0x2d7d6ec6198adfd5850d00bd601958f6e316b05e,27-06-2024,31-12-2024,6
Boardroom,,27-06-2024,31-12-2024,6
